		FP1 - Force			FP1 - Moment			FP1 - CoP			FP2 - Force			FP2 - Moment			FP2 - CoP			Combined Force			Combined Moment			Combined CoP		
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
1	0	56.0548	-0.187017	-357.738	-6290.79	-25171.5	4004.71	161.637	271.585	0	-0.249548	-3.36867	-470.512	85.5786	27777.3	-116.112	-172.964	253.818	0	55.8052	-3.55569	-828.25	-216808	-25106.6	-9573.15	-28.4427	261.492	0
1	1	56.099	-0.187012	-358.196	-6263.33	-25210.8	4011.68	161.617	271.486	0	-0.250019	-3.49205	-471.153	47.9856	27794.2	-116.803	-173.008	253.898	0	55.849	-3.67906	-829.348	-217103	-25172.3	-9549.63	-28.4835	261.494	0
1	2	55.9662	-0.187254	-357.83	-6290.63	-25181.8	3986.89	161.626	271.58	0	-0.250714	-3.40193	-470.466	126.407	27819	-116.08	-172.869	253.731	0	55.7155	-3.58918	-828.296	-216781	-25039.3	-9560.53	-28.3645	261.442	0
1	3	56.0216	-0.187264	-358.151	-6281.75	-25198.2	3998.24	161.643	271.539	0	-0.249443	-3.25844	-470.836	113.755	27811.1	-115.711	-172.932	253.758	0	55.7721	-3.44571	-828.986	-216953	-25076.9	-9596.21	-28.3841	261.44	0
1	4	56.0216	-0.187299	-357.831	-6300.43	-25198.2	4009.22	161.581	271.607	0	-0.249249	-3.3031	-470.561	69.935	27828.8	-115.874	-172.86	253.851	0	55.7724	-3.4904	-828.392	-216867	-25070.2	-9575.19	-28.3958	261.521	0
1	5	55.955	-0.18728	-357.739	-6281.65	-25218.7	4000.29	161.505	271.559	0	-0.248908	-3.20322	-470.7	97.4374	27824.6	-115.498	-172.887	253.793	0	55.7061	-3.3905	-828.439	-216828	-25145.2	-9589.85	-28.4886	261.465	0
1	6	55.9991	-0.18714	-357.922	-6272.77	-25197.3	4025.13	161.601	271.526	0	-0.250533	-3.36869	-470.558	132.454	27814.7	-115.979	-172.89	253.719	0	55.7485	-3.55583	-828.48	-216802	-25060.4	-9538.2	-28.3821	261.412	0
1	7	55.9661	-0.187473	-358.198	-6300.51	-25167.9	4005.08	161.738	271.59	0	-0.2499	-3.38054	-471.016	94.6031	27793.4	-116.26	-172.993	253.799	0	55.7162	-3.56802	-829.214	-217054	-25092.4	-9547.68	-28.3985	261.484	0
1	8	56.0325	-0.186942	-357.921	-6253.55	-25217.3	3993.64	161.545	271.472	0	-0.24976	-3.38058	-470.971	85.2585	27793.2	-116.269	-172.987	253.819	0	55.7827	-3.56753	-828.891	-216935	-25198.7	-9575.89	-28.5342	261.442	0
1	9	56.0995	-0.187297	-357.876	-6314.29	-25201.5	4002.36	161.58	271.644	0	-0.249426	-3.32416	-470.421	96.7727	27781.6	-115.898	-172.943	253.794	0	55.8501	-3.51146	-828.297	-216831	-25081.5	-9597	-28.4082	261.506	0
2	0	56.0441	-0.187442	-357.831	-6314.42	-25217.9	4004.62	161.526	271.646	0	-0.248474	-3.20293	-470.516	78.6424	27805.2	-115.509	-172.905	253.833	0	55.7956	-3.39037	-828.347	-216856	-25104.2	-9608.4	-28.437	261.528	0
2	1	55.9557	-0.187862	-357.924	-6342.29	-25204.8	3991.25	161.58	271.72	0	-0.248758	-3.2361	-470.378	77.2791	27814	-115.582	-172.869	253.836	0	55.7069	-3.42396	-828.302	-216876	-25025.2	-9591.76	-28.3475	261.564	0
2	2	55.9885	-0.187207	-357.601	-6304.43	-25173.4	3986.7	161.605	271.63	0	-0.249521	-3.33585	-470.605	87.0938	27801	-115.993	-172.925	253.815	0	55.7389	-3.52305	-828.206	-216808	-25135	-9581.79	-28.4823	261.507	0
2	3	56.0327	-0.187117	-357.555	-6304.67	-25175.2	4002.33	161.591	271.633	0	-0.249591	-3.32487	-470.514	87.6322	27819.3	-115.908	-172.875	253.814	0	55.7831	-3.51199	-828.069	-216772	-25110.3	-9579.8	-28.4545	261.508	0
2	4	55.9442	-0.187422	-357.465	-6323.29	-25176.2	3997.85	161.57	271.689	0	-0.250503	-3.35776	-470.741	137.592	27810.8	-115.984	-172.921	253.708	0	55.6937	-3.54518	-828.206	-216777	-25189	-9554.12	-28.5503	261.469	0
2	5	55.9664	-0.187472	-357.283	-6332.9	-25200.5	4013.36	161.466	271.725	0	-0.249373	-3.33569	-470.422	77.727	27800.3	-115.963	-172.903	253.835	0	55.717	-3.52316	-827.704	-216718	-25193.7	-9549.6	-28.5712	261.557	0
2	6	55.9777	-0.187912	-357.924	-6347.41	-25215.1	4013.66	161.552	271.734	0	-0.249577	-3.30243	-470.514	102.517	27809.9	-115.803	-172.895	253.782	0	55.7282	-3.49034	-828.438	-216893	-25071.6	-9559.74	-28.3981	261.538	0
2	7	56.0005	-0.187912	-357.329	-6397.68	-25173.9	3986.23	161.55	271.904	0	-0.249333	-3.24738	-470.653	104.918	27824.4	-115.626	-172.881	253.777	0	55.7511	-3.4353	-827.982	-216822	-25187	-9605.49	-28.5523	261.6	0
2	8	55.9995	-0.187108	-357.144	-6313.79	-25183.1	4002.09	161.487	271.679	0	-0.248744	-3.23573	-470.24	81.8801	27804.1	-115.541	-172.873	253.826	0	55.7508	-3.42284	-827.384	-216609	-25164.5	-9591.94	-28.5447	261.532	0
2	9	55.9666	-0.187624	-357.374	-6355.94	-25172.5	3999.91	161.563	271.785	0	-0.249824	-3.29147	-470.469	112.423	27833	-115.704	-172.84	253.761	0	55.7168	-3.4791	-827.843	-216740	-25122.5	-9572.95	-28.4806	261.542	0
3	0	55.9887	-0.187402	-357.419	-6332.53	-25178.1	3995.48	161.556	271.717	0	-0.250292	-3.37982	-470.603	117.925	27800.9	-116.079	-172.925	253.749	0	55.7384	-3.56722	-828.022	-216760	-25181.6	-9562.87	-28.545	261.505	0
3	1	56.0331	-0.187507	-357.694	-6332.86	-25198.7	4000.04	161.552	271.705	0	-0.249583	-3.3806	-470.833	71.2532	27797.4	-116.258	-172.961	253.849	0	55.7835	-3.56811	-828.527	-216936	-25197.1	-9569.82	-28.5443	261.558	0
3	2	55.9669	-0.187841	-357.832	-6355.87	-25181.9	3977.7	161.626	271.762	0	-0.248667	-3.29255	-470.608	33.0784	27833.8	-115.929	-172.856	253.93	0	55.7182	-3.4804	-828.44	-216971	-25057.1	-9595.56	-28.3813	261.632	0
3	3	56.0559	-0.187903	-357.648	-6374.64	-25227.7	3981.82	161.462	271.824	0	-0.247637	-3.17012	-470.381	33.366	27814.1	-115.448	-172.869	253.929	0	55.8083	-3.35802	-828.029	-216879	-25116.9	-9642.03	-28.4622	261.658	0
3	4	56.056	-0.18807	-357.741	-6389	-25223.1	3997.57	161.493	271.859	0	-0.247867	-3.13657	-470.472	67.4251	27809.7	-115.28	-172.89	253.857	0	55.8081	-3.32464	-828.213	-216905	-25116.2	-9633.81	-28.4554	261.633	0
3	5	55.8778	-0.187722	-357.375	-6342.07	-25187.4	4000.05	161.521	271.746	0	-0.24828	-3.20347	-470.426	50.7524	27832.9	-115.52	-172.835	253.892	0	55.6295	-3.39119	-827.801	-216773	-25123.7	-9570.69	-28.488	261.6	0
3	6	55.8447	-0.187946	-357.467	-6360.7	-25172	3995.63	161.582	271.794	0	-0.248958	-3.33581	-470.65	63.6215	27773.3	-116.089	-172.99	253.865	0	55.5957	-3.52376	-828.117	-216865	-25196.6	-9536.71	-28.5675	261.604	0
3	7	56.033	-0.187484	-357.785	-6323.73	-25203.4	4006.85	161.557	271.675	0	-0.249616	-3.36957	-470.742	71.7689	27811	-116.177	-172.921	253.848	0	55.7834	-3.55705	-828.528	-216926	-25146	-9565.42	-28.4824	261.546	0
3	8	56.0666	-0.187652	-357.785	-6351.5	-25200.1	3995.49	161.566	271.752	0	-0.249386	-3.28096	-470.607	84.9182	27838.3	-115.764	-172.846	253.82	0	55.8172	-3.46861	-828.393	-216902	-25085.8	-9605.4	-28.4123	261.565	0
3	9	55.9783	-0.187912	-357.054	-6393.08	-25210.4	3990.53	161.393	271.905	0	-0.24803	-3.09211	-470.564	97.3232	27814.6	-115.074	-172.891	253.793	0	55.7302	-3.28003	-827.619	-216726	-25275.6	-9631.02	-28.6728	261.607	0
4	0	55.9338	-0.188111	-357.604	-6379.39	-25208.6	3986.47	161.507	271.839	0	-0.247226	-3.12636	-470.474	16.6461	27833.1	-115.336	-172.84	253.965	0	55.6866	-3.31447	-828.078	-216912	-25105	-9616.43	-28.453	261.684	0
4	1	55.9006	-0.188336	-357.605	-6402.95	-25188.5	3999.96	161.563	271.905	0	-0.248429	-3.20271	-470.287	73.9596	27809	-115.45	-172.868	253.843	0	55.6522	-3.39105	-827.892	-216834	-25064.3	-9576.79	-28.4116	261.645	0
4	2	55.9785	-0.188269	-357.33	-6416.78	-25215.1	3997.36	161.435	271.958	0	-0.249106	-3.30307	-470.469	60.583	27828.5	-115.87	-172.85	253.871	0	55.7294	-3.49134	-827.799	-216842	-25180.6	-9576.35	-28.5516	261.678	0
4	3	56.0007	-0.188315	-357.33	-6430.85	-25202.1	4004.05	161.471	271.997	0	-0.249279	-3.34792	-470.881	54.0865	27820.9	-116.17	-172.917	253.885	0	55.7514	-3.53624	-828.211	-216969	-25270.7	-9565.27	-28.646	261.699	0
4	4	55.9229	-0.18831	-357.376	-6402.9	-25226.8	3997.48	161.411	271.916	0	-0.248248	-3.22549	-470.654	54.3742	27801.2	-115.688	-172.931	253.884	0	55.6747	-3.4138	-828.03	-216889	-25248.8	-9579.98	-28.6294	261.667	0
4	5	56.0343	-0.188558	-357.788	-6426.46	-25250.3	3992.96	161.427	271.962	0	-0.247672	-3.1821	-470.611	14.4028	27843.1	-115.569	-172.836	253.969	0	55.7866	-3.37065	-828.399	-217045	-25130.1	-9622.88	-28.4672	261.74	0
4	6	56.001	-0.188559	-357.742	-6440.2	-25197.4	3990.79	161.565	272.002	0	-0.246869	-3.12617	-470.519	7.17973	27805.4	-115.399	-172.905	253.985	0	55.7541	-3.31473	-828.262	-217028	-25103	-9629.48	-28.4406	261.767	0
4	7	55.9351	-0.189186	-357.835	-6491.25	-25199.4	3966.05	161.578	272.14	0	-0.247945	-3.14878	-470.703	43.8615	27852.7	-115.398	-172.828	253.907	0	55.6872	-3.33797	-828.538	-217114	-25075.3	-9632.14	-28.4018	261.782	0
4	8	55.9458	-0.189014	-357.653	-6477.79	-25209.2	3999.66	161.515	272.112	0	-0.247732	-3.20393	-470.335	8.76545	27842	-115.582	-172.804	253.981	0	55.6981	-3.39294	-827.988	-216998	-25054.1	-9588.77	-28.3936	261.813	0
4	9	55.9899	-0.188537	-357.605	-6421.52	-25257.7	3981.68	161.37	271.957	0	-0.248693	-3.34928	-471.021	-6.40146	27859	-116.313	-172.854	254.014	0	55.7412	-3.53781	-828.626	-217126	-25256.5	-9584.92	-28.6154	261.757	0
5	0	55.8564	-0.188494	-357.697	-6402.85	-25200.7	3986.57	161.548	271.9	0	-0.247796	-3.25975	-470.518	-12.2133	27838.2	-115.886	-172.835	254.026	0	55.6086	-3.44825	-828.215	-217005	-25077.1	-9566.45	-28.4189	261.746	0
5	1	56.0011	-0.188848	-358.064	-6454.5	-25202.2	3993.17	161.615	272.026	0	-0.249262	-3.29256	-470.38	51.9208	27874.8	-115.778	-172.74	253.89	0	55.7519	-3.48141	-828.443	-217052	-24931.6	-9588.71	-28.2273	261.728	0
5	2	55.8796	-0.189289	-357.882	-6482.15	-25215.8	3970.64	161.542	272.113	0	-0.247552	-3.15973	-470.428	15.3204	27847	-115.431	-172.805	253.967	0	55.632	-3.34902	-828.31	-217076	-25021	-9611.06	-28.3463	261.807	0
5	3	55.8907	-0.189217	-357.287	-6496.15	-25239.6	3985.92	161.358	272.182	0	-0.247114	-3.07112	-470.43	23.7322	27856.2	-115.086	-172.786	253.95	0	55.6436	-3.26034	-827.717	-216927	-25174.4	-9618.74	-28.5515	261.82	0
5	4	55.8794	-0.189001	-357.469	-6477.11	-25197	3970.45	161.513	272.119	0	-0.247859	-3.19351	-470.474	4.74047	27875.2	-115.559	-172.751	253.99	0	55.6315	-3.38251	-827.944	-216990	-25080.3	-9603.43	-28.4307	261.817	0
5	5	55.8909	-0.189533	-357.608	-6515.1	-25239.6	3988.3	161.421	272.219	0	-0.248114	-3.27089	-470.381	-7.91527	27861	-115.853	-172.769	254.017	0	55.6428	-3.46042	-827.989	-217056	-25083.9	-9571.06	-28.4327	261.878	0
5	6	55.9462	-0.189044	-357.423	-6491.13	-25218.5	3970.25	161.444	272.161	0	-0.248195	-3.28213	-470.61	-3.71745	27852.6	-115.957	-172.816	254.008	0	55.698	-3.47117	-828.033	-217039	-25169.2	-9600.55	-28.5317	261.844	0
5	7	55.8462	-0.189216	-357.561	-6472.81	-25242.4	3974.98	161.404	272.103	0	-0.248794	-3.32716	-470.885	-0.716789	27881.7	-116.158	-172.789	254.002	0	55.5974	-3.51638	-828.446	-217125	-25190.6	-9560.13	-28.5495	261.814	0
5	8	56.0018	-0.189252	-357.698	-6487	-25291.1	3974.71	161.295	272.135	0	-0.247761	-3.23872	-470.75	-29.6989	27885.8	-115.866	-172.763	254.063	0	55.7541	-3.42797	-828.448	-217164	-25179.5	-9620.3	-28.5272	261.866	0
5	9	55.98	-0.189752	-357.746	-6557.1	-25224.7	3988.16	161.49	272.329	0	-0.247727	-3.17166	-470.704	5.70181	27876.1	-115.543	-172.778	253.988	0	55.7323	-3.36142	-828.45	-217197	-25100.3	-9616.53	-28.4326	261.908	0
6	0	55.9025	-0.19005	-357.884	-6548.06	-25277.6	3983.78	161.369	272.297	0	-0.247356	-3.21621	-470.566	-38.2096	27871.1	-115.769	-172.771	254.081	0	55.6551	-3.40626	-828.45	-217234	-25091	-9591.33	-28.4252	261.95	0
6	1	55.8689	-0.189815	-357.975	-6519.85	-25252.8	3975.02	161.457	272.213	0	-0.247918	-3.26028	-470.519	-21.3913	27870.9	-115.874	-172.766	254.045	0	55.621	-3.45009	-828.494	-217202	-25033	-9581.33	-28.3554	261.895	0
6	2	55.9023	-0.189854	-357.746	-6547.83	-25235.5	3986.02	161.46	272.303	0	-0.247935	-3.25971	-470.564	-2.86868	27838.4	-115.877	-172.84	254.006	0	55.6544	-3.44957	-828.31	-217164	-25112.9	-9578.96	-28.4564	261.909	0
6	3	55.8575	-0.18977	-358.021	-6497.14	-25285.1	3999.8	161.375	272.147	0	-0.247217	-3.22724	-470.657	-43.4167	27852.8	-115.865	-172.821	254.092	0	55.6103	-3.41701	-828.678	-217246	-25103.9	-9561.41	-28.4355	261.893	0
6	4	55.9353	-0.189595	-358.157	-6487.34	-25293	3972.82	161.38	272.113	0	-0.248155	-3.30412	-470.335	-18.6693	27856.2	-115.988	-172.774	254.04	0	55.6872	-3.49372	-828.491	-217168	-25006.2	-9590.34	-28.3191	261.853	0
6	5	55.8911	-0.189544	-357.745	-6514.68	-25230.3	3963.68	161.474	272.21	0	-0.247357	-3.22728	-470.521	-43.3478	27870.9	-115.807	-172.766	254.092	0	55.6437	-3.41683	-828.265	-217159	-25065	-9605.9	-28.4007	261.918	0
6	6	55.9248	-0.19002	-358.021	-6556.98	-25241.2	3965.89	161.498	272.315	0	-0.246315	-3.06151	-470.342	-54.9139	27912.1	-115.148	-172.656	254.117	0	55.6785	-3.25153	-828.363	-217230	-24931.3	-9650.11	-28.2336	261.982	0
6	7	55.8803	-0.190024	-357.747	-6547.86	-25276.7	3976.99	161.345	272.303	0	-0.247777	-3.22717	-470.658	-15.3139	27871.4	-115.781	-172.782	254.033	0	55.6326	-3.41719	-828.404	-217199	-25141.6	-9589.86	-28.4892	261.923	0
6	8	55.9473	-0.190321	-357.839	-6576.16	-25316.9	3981.29	161.25	272.377	0	-0.247513	-3.21677	-470.431	-52.0101	27917.2	-115.715	-172.656	254.111	0	55.6998	-3.40709	-828.269	-217230	-25065.5	-9605.06	-28.3979	262.002	0
