		FP1 - Force			FP1 - Moment			FP1 - CoP			FP2 - Force			FP2 - Moment			FP2 - CoP			Combined Force			Combined Moment			Combined CoP		
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
1	0	48.7152	-0.36822	-354.488	-22964.1	-30867.8	1127.69	144.923	318.781	0	-0.177613	-7.18082	-474.237	-8167.39	30689.7	-146.634	-167.286	271.222	0	48.5376	-7.54904	-828.725	-242030	-29178.4	-9797.64	-33.7386	291.566	0
1	1	48.7377	-0.36812	-354.669	-22963.2	-30836	1085.14	145.057	318.746	0	-0.177422	-7.1142	-474.467	-8141.3	30676.5	-146.415	-167.345	271.159	0	48.5603	-7.48232	-829.136	-242105	-29171.5	-9861.04	-33.7129	291.514	0
1	2	48.7159	-0.368617	-354.625	-22996.5	-30886.6	1100.67	144.904	318.847	0	-0.176882	-7.05893	-474.057	-8166.91	30707.5	-146.128	-167.224	271.228	0	48.539	-7.42755	-828.682	-242046	-29106.1	-9852.62	-33.6525	291.606	0
1	3	48.7819	-0.367985	-354.349	-22963.5	-30861.3	1105.06	144.907	318.805	0	-0.177066	-7.02604	-474.333	-8146.74	30722.5	-146.027	-167.23	271.175	0	48.6049	-7.39402	-828.681	-241991	-29196.2	-9872.31	-33.7584	291.542	0
1	4	48.7378	-0.368572	-354.991	-22987.4	-30859.5	1109.93	145.07	318.755	0	-0.177114	-7.04839	-474.47	-8152.33	30718.5	-146.162	-167.257	271.182	0	48.5607	-7.41697	-829.461	-242220	-29079	-9851.35	-33.5881	291.542	0
1	5	48.6934	-0.368431	-354.899	-22986.8	-30806.2	1089.81	145.197	318.77	0	-0.178502	-7.25833	-473.961	-8161.17	30721.3	-146.785	-167.182	271.219	0	48.5149	-7.62676	-828.861	-242085	-28925.3	-9812.13	-33.4281	291.579	0
1	6	48.6709	-0.36817	-354.259	-22968.3	-30847.2	1114.16	144.925	318.835	0	-0.177766	-7.1251	-474.238	-8132.37	30694.2	-146.35	-167.277	271.148	0	48.4932	-7.49327	-828.496	-241939	-29204.5	-9812.39	-33.7818	291.539	0
1	7	48.5496	-0.36906	-354.993	-23001.1	-30860.9	1085.42	145.066	318.793	0	-0.178147	-7.18099	-474.329	-8143.91	30713.3	-146.582	-167.249	271.169	0	48.3714	-7.55005	-829.322	-242196	-29044.4	-9797.75	-33.5618	291.555	0
1	8	48.7269	-0.368662	-354.9	-22991.9	-30882.4	1100.84	144.983	318.784	0	-0.17843	-7.15816	-473.917	-8119.64	30725.5	-146.315	-167.167	271.133	0	48.5485	-7.52682	-828.817	-242033	-28988.4	-9832.25	-33.5041	291.537	0
1	9	48.7489	-0.368593	-354.991	-22978.3	-30897.4	1116.61	144.963	318.729	0	-0.176932	-7.04725	-474.193	-8138.59	30670.6	-146.099	-167.32	271.163	0	48.572	-7.41584	-829.184	-242127	-29101.5	-9847.73	-33.6251	291.527	0
2	0	48.6161	-0.368885	-354.718	-22996.6	-30896.4	1096.35	144.899	318.831	0	-0.176333	-7.00317	-474.148	-8160.07	30675.2	-145.973	-167.305	271.21	0	48.4397	-7.37205	-828.866	-242084	-29143.4	-9844.44	-33.6956	291.589	0
2	1	48.6938	-0.368652	-354.762	-22977.6	-30923.1	1078.3	144.834	318.769	0	-0.178664	-7.22393	-473.731	-8117.94	30692.2	-146.528	-167.212	271.136	0	48.5151	-7.59258	-828.493	-241938	-29050.2	-9831.39	-33.5932	291.533	0
2	2	48.5938	-0.36907	-354.811	-23006.4	-30895.5	1116.63	144.924	318.841	0	-0.17776	-7.16999	-474.284	-8162.16	30708.5	-146.577	-167.253	271.209	0	48.4161	-7.53906	-829.094	-242161	-29117.7	-9780.42	-33.6569	291.594	0
2	3	48.749	-0.368683	-355.037	-22978.3	-30920.8	1109.86	144.908	318.721	0	-0.178783	-7.21228	-473.684	-8094.23	30673.3	-146.439	-167.245	271.088	0	48.5703	-7.58096	-828.721	-241972	-28994.7	-9816.46	-33.5138	291.495	0
2	4	48.7157	-0.368811	-355.267	-22978.6	-30905.4	1119.05	145.008	318.68	0	-0.177456	-7.08026	-474.009	-8125.94	30683.9	-146.121	-167.267	271.143	0	48.5382	-7.44907	-829.276	-242139	-28988.6	-9829.18	-33.4866	291.508	0
2	5	48.7159	-0.368688	-354.991	-22991.8	-30872.6	1094.19	145.033	318.767	0	-0.177622	-7.1231	-473.639	-8104.77	30626.4	-146.181	-167.338	271.112	0	48.5382	-7.49179	-828.63	-241969	-28992.1	-9844.23	-33.516	291.528	0
2	6	48.6384	-0.369131	-354.902	-23029.5	-30864.7	1112.11	145.033	318.89	0	-0.177222	-7.03562	-473.826	-8119.45	30683.1	-145.896	-167.244	271.136	0	48.4612	-7.40475	-828.728	-242043	-28987.9	-9826.64	-33.5116	291.587	0
2	7	48.7379	-0.368647	-355.22	-22978.2	-30878.3	1105.56	145.073	318.687	0	-0.177324	-7.08968	-473.365	-8112.72	30634.6	-145.994	-167.283	271.138	0	48.5605	-7.45833	-828.585	-241951	-28874.4	-9846.02	-33.374	291.523	0
2	8	48.6273	-0.369086	-355.084	-22996.8	-30915.7	1092.02	144.934	318.764	0	-0.178056	-7.20156	-473.776	-8131.17	30659.7	-146.526	-167.286	271.162	0	48.4493	-7.57065	-828.86	-242063	-29008	-9806.16	-33.531	291.555	0
2	9	48.7045	-0.368549	-355.174	-22968.6	-30862.8	1094.4	145.105	318.669	0	-0.177392	-7.2127	-473.73	-8169.1	30636.3	-146.664	-167.33	271.244	0	48.5271	-7.58125	-828.904	-242084	-28950.5	-9821.04	-33.4555	291.565	0
3	0	48.6603	-0.368909	-355.13	-22997	-30870.3	1110.06	145.073	318.756	0	-0.176898	-7.0905	-473.641	-8145.34	30640.5	-146.144	-167.309	271.197	0	48.4834	-7.4594	-828.771	-242049	-28941.6	-9821.93	-33.4523	291.577	0
3	1	48.7825	-0.368951	-355.633	-23001.9	-30875.6	1110.17	145.181	318.679	0	-0.177789	-7.0899	-473.457	-8093.92	30658.2	-145.953	-167.246	271.095	0	48.6047	-7.45885	-829.09	-242084	-28775.6	-9852.62	-33.2322	291.506	0
3	2	48.716	-0.368939	-355.221	-22996.8	-30905.4	1094.25	144.997	318.74	0	-0.177006	-7.05659	-473.366	-8120.65	30639.2	-145.889	-167.274	271.155	0	48.539	-7.42553	-828.586	-241976	-28896.1	-9859.44	-33.4012	291.555	0
3	3	48.6935	-0.368795	-355.267	-22978.3	-30890.4	1105.63	145.05	318.679	0	-0.177357	-7.13466	-473.548	-8137.84	30644.8	-146.253	-167.287	271.185	0	48.5162	-7.50345	-828.815	-242036	-28905.9	-9824.62	-33.4055	291.543	0
3	4	48.6269	-0.368733	-355.221	-22964.1	-30878.2	1096.77	145.073	318.647	0	-0.178598	-7.28916	-473.498	-8116.42	30621.3	-146.766	-167.33	271.141	0	48.4483	-7.65789	-828.719	-241983	-28913.2	-9781.18	-33.4217	291.504	0
3	5	48.7273	-0.36938	-355.817	-23011.5	-30924.7	1101.25	145.088	318.672	0	-0.179086	-7.23298	-473.36	-8058.09	30625.2	-146.388	-167.303	271.023	0	48.5483	-7.60236	-829.177	-242086	-28790.3	-9814.83	-33.2493	291.47	0
3	6	48.7046	-0.368795	-355.312	-22978.4	-30890.9	1105.64	145.06	318.671	0	-0.179391	-7.23365	-473.499	-8057.88	30663.1	-146.39	-167.242	271.018	0	48.5252	-7.60245	-828.811	-241960	-28866.6	-9804.29	-33.3576	291.447	0
3	7	48.6281	-0.369973	-355.499	-23067.3	-30934.6	1096.5	144.983	318.887	0	-0.177413	-7.10116	-473.64	-8113.14	30635.7	-146.112	-167.319	271.129	0	48.4507	-7.47113	-829.138	-242181	-28923.4	-9824.92	-33.4173	291.606	0
3	8	48.7274	-0.369383	-355.588	-23020.8	-30929.4	1107.82	145.019	318.74	0	-0.176887	-7.06828	-473.321	-8149	30667.1	-145.954	-167.209	271.217	0	48.5505	-7.43767	-828.909	-242111	-28797.2	-9846.26	-33.2681	291.603	0
3	9	48.672	-0.369371	-355.405	-23024.9	-30908.3	1089.83	145.034	318.785	0	-0.177767	-7.08951	-472.816	-8107.89	30683.6	-145.774	-167.104	271.148	0	48.4942	-7.45888	-828.221	-241900	-28683.4	-9844.88	-33.1602	291.59	0
4	0	48.7268	-0.368732	-355.495	-22959.7	-30915.2	1094.49	145.036	318.585	0	-0.177826	-7.13308	-473.133	-8086.71	30610.3	-146.049	-167.303	271.092	0	48.549	-7.50181	-828.628	-241919	-28818.3	-9844.25	-33.3046	291.467	0
4	1	48.5943	-0.369534	-355.498	-23020.5	-30909.7	1096.74	145.052	318.756	0	-0.179401	-7.26596	-473.405	-8045.53	30611.4	-146.505	-167.338	270.995	0	48.4149	-7.63549	-828.902	-242014	-28867.5	-9777.97	-33.3607	291.479	0
4	2	48.6275	-0.369523	-355.498	-23020.7	-30925.1	1103.41	145.009	318.756	0	-0.179394	-7.32194	-473.176	-8089.73	30643.3	-146.707	-167.239	271.097	0	48.4481	-7.69146	-828.674	-242003	-28800	-9767.09	-33.2861	291.543	0
4	3	48.7163	-0.36931	-355.679	-23011	-30919.5	1085.46	145.069	318.696	0	-0.178796	-7.22175	-473.269	-8067.02	30615.5	-146.353	-167.311	271.045	0	48.5376	-7.59106	-828.948	-242036	-28805.3	-9830.42	-33.2769	291.491	0
4	4	48.7609	-0.369249	-355.587	-23020.1	-30916.7	1076.33	145.054	318.738	0	-0.177711	-7.12176	-473.133	-8081.65	30596.2	-146.012	-167.333	271.081	0	48.5832	-7.49101	-828.72	-241997	-28813.9	-9873.78	-33.2936	291.53	0
4	5	48.6943	-0.369309	-355.13	-23029.5	-30927.9	1089.59	144.911	318.848	0	-0.178107	-7.18897	-473.59	-8089.02	30598.2	-146.396	-167.391	271.08	0	48.5162	-7.55828	-828.72	-242017	-29031.2	-9828.43	-33.5607	291.55	0
4	6	48.705	-0.369127	-355.541	-22983.2	-30951.8	1094.41	144.945	318.643	0	-0.178172	-7.13388	-473.318	-8086.48	30653	-146.059	-167.238	271.085	0	48.5268	-7.50301	-828.859	-242001	-28842.8	-9838.61	-33.3264	291.485	0
4	7	48.7273	-0.369277	-355.679	-22997.4	-30952.7	1096.66	144.976	318.658	0	-0.179165	-7.29941	-473.13	-8084.24	30624.4	-146.621	-167.273	271.087	0	48.5482	-7.66869	-828.809	-242008	-28798.2	-9804.31	-33.273	291.502	0
4	8	48.6833	-0.369443	-355.633	-23015.5	-30936.8	1071.95	145.009	318.717	0	-0.179506	-7.33302	-473.496	-8076.25	30621.2	-146.83	-167.329	271.057	0	48.5038	-7.70247	-829.129	-242101	-28878.3	-9810.25	-33.36	291.499	0
4	9	48.7278	-0.369645	-355.863	-23034.6	-30938.8	1085.44	145.06	318.729	0	-0.179436	-7.33119	-472.806	-8053.25	30571.7	-146.627	-167.34	271.033	0	48.5483	-7.70083	-828.669	-241980	-28719.8	-9808.35	-33.1832	291.515	0
5	0	48.7276	-0.369365	-355.725	-23011	-30938.7	1078.7	145.026	318.688	0	-0.179061	-7.24425	-473.498	-8063.22	30621.1	-146.484	-167.33	271.029	0	48.5485	-7.61361	-829.222	-242103	-28861.4	-9834.94	-33.3335	291.474	0
5	1	48.7384	-0.368957	-355.083	-23005.9	-30920.4	1082.84	144.921	318.79	0	-0.178733	-7.19985	-473.498	-8061.39	30616.4	-146.326	-167.34	271.025	0	48.5597	-7.56881	-828.581	-241931	-28997.2	-9843.59	-33.5227	291.495	0
5	2	48.7057	-0.369752	-355.452	-23062.6	-30933.1	1098.64	144.975	318.883	0	-0.178309	-7.1549	-472.949	-8068.94	30618.8	-146.025	-167.26	271.061	0	48.5274	-7.52465	-828.401	-241948	-28794.3	-9829.79	-33.2854	291.58	0
5	3	48.7608	-0.369231	-355.495	-23015.6	-30935.4	1083	144.979	318.742	0	-0.179698	-7.26553	-473.084	-8031.51	30624	-146.366	-167.267	270.977	0	48.5811	-7.63476	-828.579	-241913	-28814.7	-9833.89	-33.3003	291.47	0
5	4	48.761	-0.369466	-355.587	-23020.5	-30982.2	1082.95	144.87	318.739	0	-0.179936	-7.38737	-473.218	-8055.42	30587.4	-146.933	-167.363	271.023	0	48.5811	-7.75684	-828.806	-242005	-28907.7	-9806.52	-33.4036	291.495	0
5	5	48.728	-0.369925	-356.138	-23044.2	-30962.2	1081.04	145.061	318.706	0	-0.179557	-7.29856	-472.991	-8047	30605.1	-146.514	-167.295	271.013	0	48.5484	-7.66849	-829.129	-242099	-28688.7	-9820.24	-33.1277	291.499	0
5	6	48.7835	-0.369613	-355.771	-23048.2	-30941.1	1067.29	145.031	318.784	0	-0.179204	-7.30955	-472.945	-8066.24	30586.3	-146.604	-167.328	271.055	0	48.6043	-7.67916	-828.715	-242017	-28763.4	-9845.69	-33.2313	291.545	0
5	7	48.7273	-0.369152	-355.816	-22987.8	-30924.7	1083.34	145.088	318.606	0	-0.177562	-7.04344	-472.996	-8045.82	30581.5	-145.626	-167.345	271.01	0	48.5497	-7.41259	-828.811	-241949	-28750.5	-9875.87	-33.2149	291.444	0
5	8	48.7834	-0.369436	-355.541	-23043.3	-30931.7	1064.94	145.001	318.812	0	-0.178381	-7.10997	-472.675	-8043.77	30622.2	-145.725	-167.215	271.018	0	48.605	-7.47941	-828.216	-241854	-28709.1	-9893.21	-33.1851	291.535	0
5	9	48.7275	-0.3691	-355.54	-22991.9	-30938.7	1062.92	144.981	318.668	0	-0.178275	-7.17599	-472.718	-8056.13	30571.2	-146.055	-167.329	271.042	0	48.5492	-7.54509	-828.258	-241829	-28774.7	-9866.1	-33.2657	291.486	0
6	0	48.8383	-0.368758	-355.402	-22991.7	-30919.9	1064.97	145	318.692	0	-0.179473	-7.28718	-472.899	-8041.93	30595.3	-146.445	-167.303	271.006	0	48.6589	-7.65594	-828.301	-241830	-28810.6	-9866.68	-33.3019	291.467	0
6	1	48.6939	-0.369338	-355.908	-22997.5	-30918.6	1099.15	145.128	318.616	0	-0.179684	-7.37533	-472.713	-8055.13	30566.7	-146.768	-167.338	271.04	0	48.5143	-7.74467	-828.622	-241935	-28671.3	-9775.9	-33.1281	291.475	0
6	2	48.8719	-0.36894	-355.63	-22996.5	-30954.1	1055.99	144.96	318.664	0	-0.178978	-7.20987	-473.221	-8034.02	30587.2	-146.251	-167.364	270.977	0	48.6929	-7.57881	-828.852	-241963	-28875.5	-9901.94	-33.357	291.438	0
6	3	48.7949	-0.370016	-356.137	-23067.2	-30969.7	1065.13	145.04	318.771	0	-0.17909	-7.14304	-473.039	-8003.18	30605	-145.872	-167.301	270.919	0	48.6158	-7.51305	-829.177	-242083	-28710.4	-9888.44	-33.1485	291.471	0
6	4	48.8614	-0.369524	-355.724	-23057.2	-30944.4	1055.89	145.01	318.818	0	-0.178436	-7.04337	-472.859	-8008.29	30622.8	-145.458	-167.239	270.936	0	48.6829	-7.41289	-828.582	-241923	-28724.6	-9937.14	-33.1854	291.492	0
6	5	48.8501	-0.369394	-355.952	-23047.8	-30892.5	1053.92	145.212	318.75	0	-0.178625	-7.16493	-472.718	-8036.9	30589.8	-145.952	-167.29	271.002	0	48.6714	-7.53433	-828.67	-241970	-28619.9	-9908.69	-33.0557	291.512	0
6	6	48.8722	-0.369188	-355.631	-23029	-30940.1	1051.42	144.999	318.755	0	-0.180451	-7.36331	-472.209	-8007.95	30587.8	-146.451	-167.224	270.959	0	48.6917	-7.7325	-827.84	-241720	-28627.8	-9871.19	-33.0962	291.492	0
6	7	48.7941	-0.369175	-355.266	-23020.3	-30955.5	1089.51	144.867	318.797	0	-0.179632	-7.29777	-472.669	-8033.12	30589.7	-146.404	-167.283	270.995	0	48.6145	-7.66695	-827.936	-241758	-28828.4	-9828.47	-33.3399	291.507	0
6	8	48.8166	-0.369164	-355.677	-23024.3	-30905	1051.6	145.109	318.734	0	-0.17963	-7.20861	-472.579	-7992.06	30593.8	-145.961	-167.262	270.912	0	48.6369	-7.57778	-828.256	-241798	-28658.7	-9892.15	-33.1207	291.448	0
